City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
429,monteiro,-7.8894,-37.12,22.48,74,37,5.21,BR,1674610711
430,srivardhan,18.0333,73.0167,19.11,69,34,2.92,IN,1674610711
431,suncuius,46.9333,22.5333,0.61,81,18,0.47,RO,1674610712
432,khonsa,27.0167,95.5667,15.71,47,8,0.06,IN,1674610712
433,svetlaya,46.5389,138.3297,-20.97,59,32,6.78,RU,1674610712
434,katima mulilo,-17.5,24.2667,18.25,95,98,0.91,NA,1674610713
435,ternate,0.8,127.4,28.2,73,25,1.06,ID,1674610713
436,valdivia,-39.8142,-73.2459,14.05,76,0,1.42,CL,1674609996
437,santa cruz,-17.8,-63.1667,24.7,94,75,5.14,BO,1674610714
438,naples,40.8333,14.25,10.63,74,0,3.6,IT,1674610204
439,talaya,61.3833,152.75,-31.89,95,100,1.44,RU,1674610715
440,bira,49.0,132.4667,-26.84,81,13,1.59,RU,1674610715
441,kilifi,-3.6305,39.8499,24.68,88,100,3.34,KE,1674610715
442,udachnyy,66.4167,112.4,-40.9,100,69,0.89,RU,1674610716
443,snezhnogorsk,69.1933,33.2531,-3.12,79,100,7.42,RU,1674610716
444,havoysund,70.9963,24.6622,1.13,66,100,6.85,NO,1674610717
445,canmore,51.0834,-115.3521,0.06,92,30,1.54,CA,1674610717
446,ceres,37.5949,-120.9577,14.18,54,0,2.06,US,1674610718
447,ostrovnoy,68.0531,39.5131,-4.87,80,100,10.5,RU,1674610718
448,mangai,-4.05,19.5333,20.66,99,100,1.23,CD,1674610719
449,tongliao,43.6125,122.2653,-14.67,29,77,5.77,CN,1674610719
450,bilibino,68.0546,166.4372,-25.11,72,100,1.86,RU,1674610719
451,poum,-20.2333,164.0167,28.18,75,14,2.86,NC,1674610720
452,pombia,45.653,8.6336,5.7,83,75,2.57,IT,1674610720
453,khandagayty,50.7333,92.05,-23.26,99,100,0.24,RU,1674610721
454,muta,46.6114,15.1661,1.86,98,100,1.3,SI,1674610721
455,sao miguel do araguaia,-13.275,-50.1628,22.17,94,100,0.88,BR,1674610722
456,kisangani,0.5167,25.2,21.02,90,63,1.3,CD,1674610722
457,mongo,12.1844,18.693,22.98,11,100,2.47,TD,1674610723
458,mujiayingzi,42.1167,118.7833,-14.6,38,91,4.45,CN,1674610723
459,shahr-e babak,30.1165,55.1186,-0.9,52,69,1.13,IR,1674610724
460,timaru,-44.4,171.25,21.15,66,100,5.96,NZ,1674610724
461,karaton,-6.3424,106.1045,24.7,90,100,3.05,ID,1674610725
462,constitucion,-35.3333,-72.4167,13.64,80,0,6.5,CL,1674610725
463,kainantu,-6.2887,145.8655,23.74,62,100,2.26,PG,1674610725
464,namatanai,-3.6667,152.4333,29.27,67,95,2.66,PG,1674610726
465,zlobin,45.2924,14.6541,2.61,67,75,1.03,HR,1674610726
466,chake chake,-5.2459,39.7666,24.96,85,85,4.05,TZ,1674610727
467,laguna,38.421,-121.4238,13.16,66,0,2.06,US,1674610727
468,havelock,34.8791,-76.9013,9.41,85,0,0.0,US,1674610728
469,peleduy,59.6289,112.7406,-26.72,88,100,2.47,RU,1674610728
470,eirunepe,-6.6603,-69.8736,22.4,98,30,1.17,BR,1674610729
471,aksay,47.26,39.87,-0.97,60,1,5.36,RU,1674610729
472,finschhafen,-6.6024,147.8681,29.16,70,100,2.75,PG,1674610730
473,buala,-8.145,159.5921,28.34,76,89,3.2,SB,1674610730
474,brae,60.3964,-1.353,9.45,89,100,11.01,GB,1674610731
475,beira,-19.8436,34.8389,29.05,79,20,4.63,MZ,1674610731
476,paamiut,61.994,-49.6678,-3.08,75,100,5.79,GL,1674610731
477,santa maria,-29.6842,-53.8069,24.61,73,40,3.09,BR,1674610419
478,xacmaz,41.4635,48.806,0.92,74,7,1.5,AZ,1674610732
479,la rioja,42.25,-2.5,-2.12,89,99,1.19,ES,1674610732
480,tanda,26.55,82.65,14.17,74,8,2.58,IN,1674610297
481,binzhou,37.3667,118.0167,-7.03,9,3,3.26,CN,1674610733
482,le port,-20.9373,55.2919,23.0,92,100,2.89,RE,1674610734
483,qingdao,36.0986,120.3719,-8.22,29,0,4.0,CN,1674610734
484,atasu,48.6814,71.6433,-25.94,100,42,1.4,KZ,1674610734
485,charters towers,-20.1,146.2667,30.99,50,67,4.06,AU,1674610735
486,la macarena,2.1837,-73.7849,23.88,63,49,1.07,CO,1674610735
487,muscle shoals,34.7448,-87.6675,10.08,59,100,4.12,US,1674610736
488,ulcinj,41.9294,19.2244,9.43,76,12,5.48,ME,1674610736
489,muslyumovo,55.3033,53.1947,-14.05,93,100,2.69,RU,1674610737
490,matara,5.9485,80.5353,22.8,90,66,2.07,LK,1674610737
491,north aurora,41.8061,-88.3273,1.28,82,100,1.54,US,1674610738
492,airai,-8.9266,125.4092,21.42,72,100,0.53,TL,1674610738
493,vitre,48.1178,-1.2058,1.49,88,100,2.91,FR,1674610738
494,palmaner,13.2,78.75,15.78,93,88,1.03,IN,1674610739
495,russell,32.3502,-85.1999,10.6,69,100,3.24,US,1674610739
496,inuvik,68.3499,-133.7218,-19.44,84,100,1.03,CA,1674610740
497,grande prairie,55.1667,-118.8027,0.1,64,75,4.12,CA,1674610740
498,rorvik,64.8621,11.2373,8.06,93,100,15.95,NO,1674610741
499,mareeba,-17.0,145.4333,31.91,63,45,2.07,AU,1674610741
500,camargo,27.6667,-105.1667,7.08,13,0,3.94,MX,1674610742
501,chapais,49.7834,-74.8492,-21.12,97,72,2.39,CA,1674610742
502,mayen,50.3333,7.2167,0.71,88,100,1.26,DE,1674610743
503,axim,4.8699,-2.2405,25.88,86,4,1.45,GH,1674610743
504,uong bi,21.0333,106.7833,11.99,38,6,1.8,VN,1674610743
505,vershino-shakhtaminskiy,51.3012,117.8868,-27.59,71,19,0.61,RU,1674610744
506,chotila,22.4167,71.1833,12.21,47,1,3.86,IN,1674610744
507,gull lake,50.1001,-108.4847,-1.79,98,99,3.53,CA,1674610745
508,freeport,40.6576,-73.5832,5.1,57,100,6.69,US,1674610488
509,mildura,-34.2,142.15,32.26,37,0,3.24,AU,1674610404
510,shaowu,27.3409,117.4831,4.59,41,2,1.66,CN,1674610746
511,walvis bay,-22.9575,14.5053,16.72,88,58,0.51,NA,1674610414
512,nativitas,19.2333,-98.3167,15.2,47,0,4.63,MX,1674610747
513,hermitage,41.2334,-80.4487,-0.55,84,20,2.57,US,1674610510
514,cairns,-16.9167,145.7667,34.48,65,75,3.6,AU,1674610747
515,formosa,-26.1775,-58.1781,29.99,62,0,2.06,AR,1674610748
516,monrovia,6.3005,-10.7969,25.04,85,100,2.82,LR,1674610748
517,imeni poliny osipenko,52.4201,136.4853,-27.47,94,100,4.4,RU,1674610749
518,high rock,26.6208,-78.2833,21.01,78,100,7.67,BS,1674610749
519,lewiston,44.1003,-70.2148,1.25,88,74,2.27,US,1674610750
520,damghan,36.1683,54.348,-3.42,61,0,0.95,IR,1674610750
521,port hawkesbury,45.6169,-61.3485,-1.01,82,75,6.69,CA,1674610570
522,huixtla,15.15,-92.4667,24.82,82,81,1.59,MX,1674610751
523,chicama,-7.8447,-79.1469,20.3,71,96,1.82,PE,1674610751
524,tongchuan,35.0806,109.0897,-6.35,19,100,0.87,CN,1674610752
